Date,Tank,Treatment,Volume,Time,Rate (mL/s),Notes
20180603,Ambient_Header,Ambient,37,1.26,29.3651,
20180603,Ambient_Header,Ambient,30,0.89,33.7079,
20180603,Ambient_Header,Ambient,43.5,1.29,33.7209,
20180603,Low_Header,Low,32.5,1.4,23.2143,
20180603,Low_Header,Low,35,1.59,22.0126,
20180603,Low_Header,Low,41.5,1.7,24.4118,
20180603,XLow_Header,XLow,43,5.78,7.4394,
20180603,XLow_Header,XLow,44,5.9,7.4576,
20180603,XLow_Header,XLow,44,5.6,7.8571,
20180603,Low_Header,Low,37,1.05,35.2381,turn on low and extra low
20180603,Low_Header,Low,37.5,1.1,34.0909,
20180603,Low_Header,Low,40,1.05,38.0952,
20180603,Low_Header,Low,37.5,0.99,37.8788,
20180603,XLow_Header,XLow,40,0.9,44.4444,
20180603,XLow_Header,XLow,32,0.83,38.5542,
20180603,XLow_Header,XLow,43,1.05,40.9524,
20180603,XLow_Header,XLow,47.5,0.99,47.9798,
20180603,XLow_Header,XLow,39.5,1,39.5,
20180603,XLow_Header,XLow,42,1.17,35.8974,
20180607,Low_Header,Low,37.5,1.18,31.7797,
20180607,Low_Header,Low,42.5,1.38,30.7971,
20180607,Ambient_Header,Ambient,37,1.13,32.7434,
20180607,Ambient_Header,Ambient,41,1.58,25.9494,
20180607,XLow_Header,XLow,44,0.38,115.7895,
20180607,XLow_Header,XLow,41.5,0.4,103.75,
20180607,XLow_Header,XLow,69,4.76,14.4958,big graduated cylinder acquired
20180607,XLow_Header,XLow,80,5.65,14.1593,
20180607,Low_Header,Low,56,3.81,14.6982,
20180607,Low_Header,Low,90,6.68,13.4731,
20180607,Ambient_Header,Ambient,134,8.06,16.6253,
20180607,Ambient_Header,Ambient,84,4.83,17.3913,
20180608,Tank10,Ambient,26,20.45,1.27139,
20180608,Tank10,Ambient,26,18.94,1.37276,
20180608,Tank11,XLow,26,13.83,1.87997,
20180608,Tank11,XLow,26,20.12,1.29225,
20180608,Tank12,Low,38,13.38,2.84006,
20180608,Tank12,Low,31,13.95,2.22222,
20180608,Tank13,Ambient,29,14.92,1.9437,
20180608,Tank13,Ambient,36,18.1,1.98895,
20180608,Tank14,XLow,28,13.3,2.10526,
20180608,Tank14,XLow,28,13.15,2.12928,
20180608,Tank15,Low,50,16.35,3.0581,
20180608,Tank15,Low,36,11.85,3.03797,
20180608,Tank10,Ambient,26,22.06,1.1786,
20180608,Tank10,Ambient,24,22.51,1.06619,
20180608,Tank11,XLow,24,14.34,1.67364,
20180608,Tank11,XLow,28,16.42,1.70524,
20180608,Tank12,Low,23,29.09,0.79065,
20180608,Tank12,Low,22,28.3,0.77739,
20180608,Tank13,Ambient,29,15.6,1.85897,
20180608,Tank13,Ambient,31,16.25,1.90769,
20180608,Tank14,XLow,36,17.21,2.09181,
20180608,Tank14,XLow,38,17.3,2.19653,
20180608,Tank15,Low,20,20.52,0.97466,
20180608,Tank15,Low,29,34.26,0.84647,
20180609,Tank15,Low,32,10.615,3.0146,
20180609,Tank14,XLow,26,12.845,2.0241,
20180609,Tank13,Ambient,26.5,12.965,2.0440,
20180609,Tank12,Low,24,12.085,1.9859,
20180609,Tank11,XLow,26.5,13.485,1.9651,
20180609,Tank10,Ambient,28,13.15,2.1293,
20180609,Tank15,Low,27,12.965,2.0825,re-adjusted to match other tanks
20180612,Tank10,Ambient,10,10.37,0.9643,HP/VS
20180612,Tank11,XLow,10,10.25,0.9756,HP/VS
20180612,Tank12,Low,7.5,10.01,0.7493,HP/VS
20180612,Tank12,Low,7.5,10.19,0.7360,HP/VS
20180612,Tank12,Low,7.5,10.01,0.7493,Rows 64-68: adjusting Tank12 inflow
20180612,Tank12,Low,10,9.92,1.0081,HP/VS
20180612,Tank13,Ambient,8,9.95,0.8040,HP/VS
20180612,Tank13,Ambient,10,9.95,1.0050,HP/VS
20180612,Tank14,XLow,9,9.92,0.9073,HP/VS
20180612,Tank14,XLow,9,9.42,0.9554,HP/VS
20180612,Tank14,XLow,9,10.05,0.8955,HP/VS
20180612,Tank14,Xlow,9,10.11,0.8902,HP/VS
20180612,Tank15,Low,10,10.1,0.9901,HP/VS
20180612,Tank10,Ambient,9,10.1,0.8911,Start of Round 2 after all adjustements - HP
20180612,Tank11,Xlow,9,10,0.9000,HP/VS
20180612,Tank12,Low,10,10.03,0.9970,HP/VS
20180612,Tank13,Ambient,10,10.02,0.9980,HP/VS
20180612,Tank14,Xlow,9,10.03,0.8973,HP/VS
20180612,Tank15,Low,10,9.98,1.0020,HP/VS
